Datum,Start,Einde,Plaats,Categorie,Omschrijfing,Issue #,Opmerkingen
14/02/17,08:30,12:30,intern,Projectwerk,les1 + uitleg,,
16/02/17,10:15,13:00,extern,Projectwerk,documenteren + opstellen backlog,,
16/02/17,13:30,15:30,intern,Projectwerk,documenteren + groepsdiscussie,,
16/02/17,15:45,17:45,intern,Communicatie,pollefliet les,,
18/02/17,16:00,16:30,extern,Projectwerk,bestaande oplossingen op github zoeken,,
20/02/17,10:30,11:30,extern,Projectwerk,uittesten bestaande oplossingen + uittesten repository,,
21/02/17,08:15,10:50,intern,Projectwerk,samenkomst met de klant,,	
21/02/17,11:00,12:00,extern,Projectwerk,opzoekwerk PDF2HTML parsers,,
23/02/17,10:40,11:30,extern,Projectwerk,opzoekwerk PDF library's + sprintbacklog,,
23/02/17,11:30,12:30,extern,Communicatie,voorbereiden presentatie,,
23/02/17,13:30,15:30,intern,Projectwerk,git bij iedereen configureren en aanmaken scrum op github,,
24/02/17,13:45,17:00,extern,Projectwerk,Aanmaken uploadpagina,,
26/02/17,13:00,16:30,extern,Communicatie,Maken presentatie + voorleestekst,,
28/02/17,08:10,12:30,intern,Projectwerk,Drag and drop bestanden opvangen en in map plaatsen,,
02/03/17,10:15,12:00,extern,Projectwerk,Toevoegen favicon (met laurens) Problemen git verhelpen,,
02/03/17,13:30,15:40,intern,Projectwerk,Invoer pagina extra info mogelijk maken,,
02/03/17,15:45,17:45,intern,Communicatie,pollefliet les,,
03/03/17,15:00,19:10,extern,Projectwerk,Invoer pagina extra info - radiobuttons,,
04/03/17,15:00,17:30,extern,Projectwerk,vervolg radiobuttons,,
04/03/17,18:30,20:30,extern,Communicatie,afwerken presentatie,,
05/03/17,10:00,11:45,extern,Projectwerk,default radiobutton + uitschrijven bestand (onaf),,
06/03/17,10:30,11:30,extern,Projectwerk,invulveld extra informatie...,,
07/03/17,08:15,12:00,intern,Projectwerk,frontend upload verder uitwerken,,
08/03/17,18:15,18:50,extern,Projectwerk,github project opnieuw in orde maken,,
09/03/17,10:30,11:50,extern,Projectwerk,documentatie frontend JSF,,
09/03/17,13:30,15:30,intern,Projectwerk,bespreking sprint 2 + presentatie,,
09/03/17,15:30,16:15,intern,Communicatie,pollefliet les,,
09/03/17,16:16,17:30,extern,Projectwerk,file download verder onderzoeken,,
11/03/17,10:00,12:30,extern,Projectwerk,opendeur,,
12/03/17,10:00,12:00,extern,Projcetwerk,dynamisch invoervak zonder javascript,,
13/03/17,18:30,19:00,extern,Projectwerk,voorbereiden presentatie klant,,
14/03/17,08:15,12:30,intern,Projectwerk,communicatie met klant + bespreking group,,
16/03/17,13:30,17:45,intern,Projectwerk,opstellen klassen diagram + uitwerken issues,,
19/03/17,17:30,18:00,extern,Communicatie,inoefenen presentatie,,
20/03/17,10:30,11:30,extern,Communicatie,inoefenen met Jonas,,
20/03/17,18:30,19:30,extern,Communicatie,laatste hand leggen aan lay out + regels ppt + inoefenen,,
21/03/17,08:10,10:20,intern,Communicatie,voorbereiden op presentatie + opzoekwerk pdf conversie,,
21/03/17,10:30,12:30,intern,Communicatie,Presentatie geven over het vogelbekdier,,
23/03/17,10:25,11:30,extern,Projectwerk,opzoekwerk pdfbox + mail sturen naar mvr pollefliet,,
28/03/17,08:10,12:30,intern,Projectwerk,pdfconversie woorden vormen + luisteren naar presentaties,,
30/03/17,10:45,12:00,extern,Projectwerk,opzoekwerk pdf conversie - woorden vormen,,
30/03/17,13:30,17:45,intern,Projectwerk,woorden uit pdf,,
01/04/17,10:00,12:00,extern,Projectwerk,pdf convertor - herstructureren (wegens chaos),,
10/04/17,15:00,18:00,extern,Projectwerk,pdf convertor - splitsen op details van tekens,,
11/04/17,12:30,17:30,extern,Projectwerk,pdf convertor - poging afbeeldingen,,
12/04/17,12:30,17:30,extern,Projectwerk,pdf convertor - info bij afbeeldingen + hun positie uitzoeken,,
13/04/17,09:00,12:00,extern,Projectwerk,pdf convertor - code opkuisen + efficientie/uitbreidbaarheid,,
13/04/17,13:00,17:30,extern,Projectwerk,pdf convertor - teruggeven model + extra intelligentie,,
14/04/17,14:00,18:00,extern,Projectwerk,pdf convertor - voorzien zip output stream + aanpassen info verwerking,,
15/04/17,09:00,12:30,extern,Projectwerk,pdf convertor - major bugfix verkeerde pagina + volledig juiste afbeelding extractie!,,
15/04/17,13:15,17:30,extern,Projectwerk,pdf convertor - overschrijven stream methode + uitzoeken zipstream,,
17/04/17,09:30,12:00,extern,Projectwerk,pdf convertor - toevoegen javadoc info + bugfix voor groot bestand,,
17/04/17,13:00,16:30,extern,Projectwerk,pdf convertor - opkuisen code + bugfix voor groot bestand,,
18/04/17,08:15,12:30,intern,Projectwerk,convertoren samenvoegen + uitleg stage / masterproef,,
18/04/17,14:30,15:30,extern,Projectwerk,urgent bugfixes aan filepaden + manier afdrukken afbeeldingen,,
19/04/17,13:45,17:30,extern,Projectwerk,textpart naar text + extractie afbeeldinglocaties verbeteren (veel) + opzoekwerk bold of italic (voorlopig onmogelijk),,
19/04/17,18:30,19:30,extern,Projectwerk,opstart hyperlink extractie,,
19/04/17,20:30,21:00,extern,Projectwerk,rechtzetten fout textpart to text,,
20/04/17,13:30,17:45,intern,Projectwerk,samenzetten + bespreken sprint twee + bugs,,
22/04/17,09:00,12:00,extern,Projectwerk,fouten opzoeken + model uitbreiden met extra info,,
22/04/17,13:00,14:30,extern,Projectwerk,fouten opzoeken etc + van jonas nieuwe library krijgen...,,
22/04/17,14:40,18:00,extern,Projectwerk,beginnen werken met nieuwe library + hergebruik eigen werk...,,
23/04/17,18:30,19:45,extern,Projectwerk,uitzoeken mogelijheden nieuwe library + half stabiele build voor demo,,
24/04/17,10:30,11:45,extern,Projectwerk,onderdelen verslag schrijven,, 